0,OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA
1,ASSINATURAS DE PERIODICOS E ANUIDADES
2,CONDOMINIOS
3,COMISSOES E CORRETAGENS
4,DIREITOS AUTORAIS
5,SERVICOS TECNICOS PROFISSIONAIS
6,"CAPATAZIA, ESTIVA E PESAGEM"
7,DESCONTOS FINANCEIROS CONCEDIDOS
8,MANUTENCAO DE SOFTWARE
9,ARMAZENAGEM
10,LOCACAO DE IMOVEIS
11,LOCACAO DE SOFTWARES
12,LOCACAO DE MAQUINAS E EQUIPAMENTOS
13,PERICIAS TECNICAS JUSTICA GRATUITA
14,LOCACAO BENS MOV. OUT.NATUREZAS E INTANGIVEIS
15,TRIBUTOS A CONTA DO LOCATARIO OU CESSIONARIO
16,MANUTENCAO E CONSERV. DE BENS IMOVEIS
17,MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS
18,SERVICOS DE ESTACIONAMENTO DE VEICULOS
19,MANUTENCAO E CONSERV. DE VEICULOS
20,MANUT.E CONS.DE B.MOVEIS DE OUTRAS NATUREZAS
21,MANUTENCAO E CONSERV. DE ESTRADAS E VIAS
22,"EXPOSICOES, CONGRESSOS E CONFERENCIAS"
23,FESTIVIDADES E HOMENAGENS
24,VISTOS CONSULARES
25,TAXA DE ADMINISTRACAO
26,DESENVOLVIMENTO DE SOFTWARE.
27,SUPORTE DE INFRAESTRUTURA DE T.I.
28,SUPORTE A USUARIOS DE T.I.
29,HONORARIOS ADVOCATICIOS - ONUS DA SUCUMBENCIA
30,HOSPEDAGEM DE SISTEMAS
31,LOCACAO DE EQUIPAMENTOS DE PROCESSAMENTO DE DADOS
34,VARIACAO CAMBIAL NEGATIVA
35,MULTAS DEDUTIVEIS
36,MULTAS POR INFRACAO
37,JUROS E MULTA DE MORA
38,ENCARGOS FINANCEIROS DEDUTIVEIS
39,ENCARGOS FINANCEIROS INDEDUTIVEIS
40,PROGRAMA DE ALIMENTACAO DO TRABALHADOR
41,FORNECIMENTO DE ALIMENTACAO
42,SERVICOS DE CARATER SECRETO OU RESERVADO
43,SERVICOS DE ENERGIA ELETRICA
44,SERVICOS DE AGUA E ESGOTO
45,SERVICOS DE GAS
46,SERVICOS DOMESTICOS
47,SERVICOS DE COMUNICACAO EM GERAL
48,SERVICO DE SELECAO E TREINAMENTO
49,PRODUCOES JORNALISTICAS
50,"SERV.MEDICO-HOSPITAL.,ODONTOL.E LABORATORIAIS"
51,SERVICOS DE ANALISES E PESQUISAS CIENTIFICAS
52,SERVICOS DE REABILITACAO PROFISSIONAL
53,SERVICOS DE ASSISTENCIA SOCIAL
54,SERVICOS DE CRECHES E ASSIST. PRE-ESCOLAR
55,SERVICOS DE CONFECCAO SELOS CONTROLE FISCAL
56,SERVICOS DE TECNOLOGIA DA INFORMACAO
57,SERVICOS TECNICOS PROFISSIONAIS DE T.I.
58,SERVICOS DE TELECOMUNICACOES
59,"SERVICOS DE AUDIO, VIDEO E FOTO"
60,SERVICOS DE MANOBRA E PATRULHAMENTO
61,SERVICOS DE SOCORRO E SALVAMENTO
62,SERVICOS DE PRODUCAO INDUSTRIAL
63,SERVICOS GRAFICOS E EDITORIAIS
64,SERV.DE PERICIA MEDICA/ODONTOLOG P/BENEFICIOS
65,SERVICOS DE APOIO AO ENSINO
66,SERVICOS JUDICIARIOS
67,SERVICOS FUNERARIOS
68,SERV. DE CONSERV. E REBENEF. DE MERCADORIAS
69,SEGUROS EM GERAL
70,"CONFECCAO DE UNIFORMES, BANDEIRAS E FLAMULAS"
71,CONFECCAO DE MATERIAL DE ACONDIC. E EMBALAGEM
72,VALE-TRANSPORTE
74,FRETES E TRANSPORTES DE ENCOMENDAS
75,"SERVICO DE INCINERACAO,DESTRUICAO E DEMOLICAO"
76,CLASSIFICACAO DE PRODUTOS
77,VIGILANCIA OSTENSIVA/MONITORADA/RASTREAMENTO
78,LIMPEZA E CONSERVACAO
79,"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL"
80,HOSPEDAGENS
81,SERVICOS BANCARIOS
82,SERVICOS DE CONTROLE AMBIENTAL
83,SERVICOS DE COPIAS E REPRODUCAO DE DOCUMENTOS
84,SERVIÇOS DE OUTSOURCING - ALMOXARIFADO VIRTUAL
85,SERVICOS EM ITENS REPARAVEIS DE AVIACAO
86,PATROCINIOS
87,SERVICOS RELACIONADOS A INDUST. AEROESPACIAL
88,PROMOCAO
89,MANUTENCAO DE REPARTICOES DO SERV. EXTERIOR
90,SERVICOS DE PUBLICIDADE LEGAL
91,SERVICOS DE PUBLICIDADE MERCADOLOGICA
92,SERVICOS DE PUBLICIDADE INSTITUCIONAL
93,SERVICOS DE PUBLICIDADE DE UTILIDADE PUBLICA
95,MANUT.CONS.EQUIP. DE PROCESSAMENTO DE DADOS
96,OUTROS SERV.DE TERCEIROS PJ- PAGTO ANTECIPADO
97,COMUNICACAO DE DADOS
98,INSCRICAO DE RESTOS A PAGAR - SERVICOS DE TERCEIROS PJ
99,OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA
